Patient ID,ADDRESS,CITY,STATE,ZIP CODE,FULL_ADDRESS
1,1010 EAST 178TH STREET,BRONX,NY,10460,1010 East 178Th St Bronx Ny 10460
2,104 TAPSCOTT STREET,BROOKLYN,NY,11212,104 Tapscott St Brooklyn Ny 11212
3,1162 WASHINGTON AVENUE,BRONX,NY,10456,1162 Washington Ave Bronx Ny 10456
4,131 SAINT NICHOLAS AVENUE,NEW YORK,NY,10026,131 Saint Nicholas Ave New York Ny 10026
5,1471 WATSON AVENUE,BRONX,NY,10472,1471 Watson Ave Bronx Ny 10472
6,154 WEST 84TH STREET,NEW YORK,NY,10024,154 West 84Th St New York Ny 10024
7,303 VERNON AVENUE,BROOKLYN,NY,11206,303 Vernon Ave Brooklyn Ny 11206
8,45 ALLEN STREET,NEW YORK,NY,10002,45 Allen St New York Ny 10002
9,830 AMSTERDAM AVENUE,NEW YORK,NY,10025,830 Amsterdam Ave New York Ny 10025
10,745 EAST 152ND STREET,BRONX,NY,10455,745 East 152Nd St Bronx Ny 10455
11,700 WESTCHESTER AVENUE,BRONX,NY,10455,700 Westchester Ave Bronx Ny 10455
12,720 WESTCHESTER AVENUE,BRONX,NY,10455,720 Westchester Ave Bronx Ny 10455
13,721 TINTON AVENUE,BRONX,NY,10455,721 Tinton Ave Bronx Ny 10455
14,710 TINTON AVENUE,BRONX,NY,10455,710 Tinton Ave Bronx Ny 10455
15,680 TINTON AVENUE,BRONX,NY,10455,680 Tinton Ave Bronx Ny 10455
16,815 EAST 152ND STREET,BRONX,NY,10455,815 East 152Nd St Bronx Ny 10455
17,180 TROY AVENUE,BROOKLYN,NY,11213,180 Troy Ave Brooklyn Ny 11213
18,1191 PARK PLACE,BROOKLYN,NY,11213,1191 Park Pl Brooklyn Ny 11213
19,205 ALBANY AVENUE,BROOKLYN,NY,11213,205 Albany Ave Brooklyn Ny 11213
20,193 ALBANY AVENUE,BROOKLYN,NY,11213,193 Albany Ave Brooklyn Ny 11213
21,1008 SAINT MARKS AVENUE,BROOKLYN,NY,11213,1008 Saint Marks Ave Brooklyn Ny 11213
22,162 TROY AVENUE,BROOKLYN,NY,11213,162 Troy Ave Brooklyn Ny 11213
23,1400 BERGEN STREET,BROOKLYN,NY,11213,1400 Bergen St Brooklyn Ny 11213
24,1414 BERGEN STREET,BROOKLYN,NY,11213,1414 Bergen St Brooklyn Ny 11213
25,1430 BERGEN STREET,BROOKLYN,NY,11213,1430 Bergen St Brooklyn Ny 11213
26,40 AMSTERDAM AVENUE,NEW YORK,NY,10023,40 Amsterdam Ave New York Ny 10023
27,50 AMSTERDAM AVENUE,NEW YORK,NY,10023,50 Amsterdam Ave New York Ny 10023
28,60 AMSTERDAM AVENUE,NEW YORK,NY,10023,60 Amsterdam Ave New York Ny 10023
29,70 AMSTERDAM AVENUE,NEW YORK,NY,10023,70 Amsterdam Ave New York Ny 10023
30,80 AMSTERDAM AVENUE,NEW YORK,NY,10023,80 Amsterdam Ave New York Ny 10023
31,90 AMSTERDAM AVENUE,NEW YORK,NY,10023,90 Amsterdam Ave New York Ny 10023
32,216 WEST 62ND STREET,NEW YORK,NY,10023,216 West 62Nd St New York Ny 10023
33,217 WEST 62ND STREET,NEW YORK,NY,10023,217 West 62Nd St New York Ny 10023
34,216 WEST 63RD STREET,NEW YORK,NY,10023,216 West 63Rd St New York Ny 10023
35,217 WEST 63RD STREET,NEW YORK,NY,10023,217 West 63Rd St New York Ny 10023
36,210 WEST 64TH STREET,NEW YORK,NY,10023,210 West 64Th St New York Ny 10023
37,216 WEST 64TH STREET,NEW YORK,NY,10023,216 West 64Th St New York Ny 10023
38,228 WEST 62ND STREET,NEW YORK,NY,10023,228 West 62Nd St New York Ny 10023
39,229 WEST 62ND STREET,NEW YORK,NY,10023,229 West 62Nd St New York Ny 10023
40,228 WEST 63RD STREET,NEW YORK,NY,10023,228 West 63Rd St New York Ny 10023
41,242 WEST 62ND STREET,NEW YORK,NY,10023,242 West 62Nd St New York Ny 10023
42,241 WEST 62ND STREET,NEW YORK,NY,10023,241 West 62Nd St New York Ny 10023
43,242 WEST 63RD STREET,NEW YORK,NY,10023,242 West 63Rd St New York Ny 10023
44,249 WEST 61ST STREET,NEW YORK,NY,10023,249 West 61St St New York Ny 10023
45,250 WEST 61ST DRIVE,NEW YORK,NY,10023,250 West 61St Dr New York Ny 10023
46,247 WEST 61ST DRIVE,NEW YORK,NY,10023,247 West 61St Dr New York Ny 10023
47,248 WEST 62ND STREET,NEW YORK,NY,10023,248 West 62Nd St New York Ny 10023
48,249 WEST 62ND STREET,NEW YORK,NY,10023,249 West 62Nd St New York Ny 10023
49,250 WEST 63RD STREET,NEW YORK,NY,10023,250 West 63Rd St New York Ny 10023
50,240 WEST 65TH STREET,NEW YORK,NY,10023,240 West 65Th St New York Ny 10023
51,4-21 ASTORIA BOULEVARD,ASTORIA,NY,11102,4-21 Astoria Blvd Astoria Ny 11102
52,28-02 8TH STREET,ASTORIA,NY,11102,28-02 8Th St Astoria Ny 11102
53,27-10 8TH STREET,ASTORIA,NY,11102,27-10 8Th St Astoria Ny 11102
54,4-10 27TH AVENUE,ASTORIA,NY,11102,4-10 27Th Ave Astoria Ny 11102
55,4-03 ASTORIA BOULEVARD,ASTORIA,NY,11102,4-03 Astoria Blvd Astoria Ny 11102
56,3-20 27TH AVENUE,ASTORIA,NY,11102,3-20 27Th Ave Astoria Ny 11102
57,3-04 27TH AVENUE,ASTORIA,NY,11102,3-04 27Th Ave Astoria Ny 11102
58,2-10 27TH AVENUE,ASTORIA,NY,11102,2-10 27Th Ave Astoria Ny 11102
59,1-25 ASTORIA BOULEVARD,ASTORIA,NY,11102,1-25 Astoria Blvd Astoria Ny 11102
60,27-05 1ST STREET,ASTORIA,NY,11102,27-05 1St St Astoria Ny 11102
61,27-25 1ST STREET,ASTORIA,NY,11102,27-25 1St St Astoria Ny 11102
62,1-05 ASTORIA BOULEVARD,ASTORIA,NY,11102,1-05 Astoria Blvd Astoria Ny 11102
63,4-24 ASTORIA BOULEVARD,ASTORIA,NY,11102,4-24 Astoria Blvd Astoria Ny 11102
64,3-02 ASTORIA BOULEVARD,ASTORIA,NY,11102,3-02 Astoria Blvd Astoria Ny 11102
65,3-06 ASTORIA BOULEVARD,ASTORIA,NY,11102,3-06 Astoria Blvd Astoria Ny 11102
66,3-10 ASTORIA BOULEVARD,ASTORIA,NY,11102,3-10 Astoria Blvd Astoria Ny 11102
67,2-10 ASTORIA BOULEVARD,ASTORIA,NY,11102,2-10 Astoria Blvd Astoria Ny 11102
68,2-06 ASTORIA BOULEVARD,ASTORIA,NY,11102,2-06 Astoria Blvd Astoria Ny 11102
69,2-04 ASTORIA BOULEVARD,ASTORIA,NY,11102,2-04 Astoria Blvd Astoria Ny 11102
70,1-20 ASTORIA BOULEVARD,ASTORIA,NY,11102,1-20 Astoria Blvd Astoria Ny 11102
71,1-10 ASTORIA BOULEVARD,ASTORIA,NY,11102,1-10 Astoria Blvd Astoria Ny 11102
72,1-04 ASTORIA BOULEVARD,ASTORIA,NY,11102,1-04 Astoria Blvd Astoria Ny 11102
