Patient ID,ADDRESS,CITY,STATE,ZIP CODE
1,1010 EAST 178TH STREET,BRONX,NY,10460
2,104 TAPSCOTT STREET,BROOKLYN,NY,11212
3,1162 WASHINGTON AVENUE,BRONX,NY,10456
4,131 SAINT NICHOLAS AVENUE,NEW YORK,NY,10026
5,1471 WATSON AVENUE,BRONX,NY,10472
6,154 WEST 84TH STREET,NEW YORK,NY,10024
7,303 VERNON AVENUE,BROOKLYN,NY,11206
8,45 ALLEN STREET,NEW YORK,NY,10002
9,830 AMSTERDAM AVENUE,NEW YORK,NY,10025
10,745 EAST 152ND STREET,BRONX,NY,10455
11,700 WESTCHESTER AVENUE,BRONX,NY,10455
12,720 WESTCHESTER AVENUE,BRONX,NY,10455
13,721 TINTON AVENUE,BRONX,NY,10455
14,710 TINTON AVENUE,BRONX,NY,10455
15,680 TINTON AVENUE,BRONX,NY,10455
16,815 EAST 152ND STREET,BRONX,NY,10455
17,180 TROY AVENUE,BROOKLYN,NY,11213
18,1191 PARK PLACE,BROOKLYN,NY,11213
19,205 ALBANY AVENUE,BROOKLYN,NY,11213
20,193 ALBANY AVENUE,BROOKLYN,NY,11213
21,1008 SAINT MARKS AVENUE,BROOKLYN,NY,11213
22,162 TROY AVENUE,BROOKLYN,NY,11213
23,1400 BERGEN STREET,BROOKLYN,NY,11213
24,1414 BERGEN STREET,BROOKLYN,NY,11213
25,1430 BERGEN STREET,BROOKLYN,NY,11213
26,40 AMSTERDAM AVENUE,NEW YORK,NY,10023
27,50 AMSTERDAM AVENUE,NEW YORK,NY,10023
28,60 AMSTERDAM AVENUE,NEW YORK,NY,10023
29,70 AMSTERDAM AVENUE,NEW YORK,NY,10023
30,80 AMSTERDAM AVENUE,NEW YORK,NY,10023
31,90 AMSTERDAM AVENUE,NEW YORK,NY,10023
32,216 WEST 62ND STREET,NEW YORK,NY,10023
33,217 WEST 62ND STREET,NEW YORK,NY,10023
34,216 WEST 63RD STREET,NEW YORK,NY,10023
35,217 WEST 63RD STREET,NEW YORK,NY,10023
36,210 WEST 64TH STREET,NEW YORK,NY,10023
37,216 WEST 64TH STREET,NEW YORK,NY,10023
38,228 WEST 62ND STREET,NEW YORK,NY,10023
39,229 WEST 62ND STREET,NEW YORK,NY,10023
40,228 WEST 63RD STREET,NEW YORK,NY,10023
41,242 WEST 62ND STREET,NEW YORK,NY,10023
42,241 WEST 62ND STREET,NEW YORK,NY,10023
43,242 WEST 63RD STREET,NEW YORK,NY,10023
44,249 WEST 61ST STREET,NEW YORK,NY,10023
45,250 WEST 61ST DRIVE,NEW YORK,NY,10023
46,247 WEST 61ST DRIVE,NEW YORK,NY,10023
47,248 WEST 62ND STREET,NEW YORK,NY,10023
48,249 WEST 62ND STREET,NEW YORK,NY,10023
49,250 WEST 63RD STREET,NEW YORK,NY,10023
50,240 WEST 65TH STREET,NEW YORK,NY,10023
51,4-21 ASTORIA BOULEVARD,ASTORIA,NY,11102
52,28-02 8TH STREET,ASTORIA,NY,11102
53,27-10 8TH STREET,ASTORIA,NY,11102
54,4-10 27TH AVENUE,ASTORIA,NY,11102
55,4-03 ASTORIA BOULEVARD,ASTORIA,NY,11102
56,3-20 27TH AVENUE,ASTORIA,NY,11102
57,3-04 27TH AVENUE,ASTORIA,NY,11102
58,2-10 27TH AVENUE,ASTORIA,NY,11102
59,1-25 ASTORIA BOULEVARD,ASTORIA,NY,11102
60,27-05 1ST STREET,ASTORIA,NY,11102
61,27-25 1ST STREET,ASTORIA,NY,11102
62,1-05 ASTORIA BOULEVARD,ASTORIA,NY,11102
63,4-24 ASTORIA BOULEVARD,ASTORIA,NY,11102
64,3-02 ASTORIA BOULEVARD,ASTORIA,NY,11102
65,3-06 ASTORIA BOULEVARD,ASTORIA,NY,11102
66,3-10 ASTORIA BOULEVARD,ASTORIA,NY,11102
67,2-10 ASTORIA BOULEVARD,ASTORIA,NY,11102
68,2-06 ASTORIA BOULEVARD,ASTORIA,NY,11102
69,2-04 ASTORIA BOULEVARD,ASTORIA,NY,11102
70,1-20 ASTORIA BOULEVARD,ASTORIA,NY,11102
71,1-10 ASTORIA BOULEVARD,ASTORIA,NY,11102
72,1-04 ASTORIA BOULEVARD,ASTORIA,NY,11102
73,487 CARLTON AVENUE,BROOKLYN,NY,11238
74,1909 AMSTERDAM AVENUE,NEW YORK,NY,10032
75,2663 HEATH AVENUE,BRONX,NY,10463
76,164-01 FOCH BOULEVARD,JAMAICA,NY,11434
77,163-11 FOCH BOULEVARD,JAMAICA,NY,11434
78,116-80 GUY BREWER BOULEVARD,JAMAICA,NY,11434
79,116-40 GUY BREWER BOULEVARD,JAMAICA,NY,11434
80,116-30 GUY BREWER BOULEVARD,JAMAICA,NY,11434
81,605 FDR DRIVE,NEW YORK,NY,10002
82,595 FDR DRIVE,NEW YORK,NY,10002
83,577 FDR DRIVE,NEW YORK,NY,10002
84,571 FDR DRIVE,NEW YORK,NY,10002
85,555 FDR DRIVE,NEW YORK,NY,10002
86,549 FDR DRIVE,NEW YORK,NY,10002
87,525 FDR DRIVE,NEW YORK,NY,10002
88,521 FDR DRIVE,NEW YORK,NY,10002
89,64 BARUCH DRIVE,NEW YORK,NY,10002
90,60 BARUCH DRIVE,NEW YORK,NY,10002
91,308 DELANCEY STREET,NEW YORK,NY,10002
92,312 DELANCEY STREET,NEW YORK,NY,10002
93,72 BARUCH DRIVE,NEW YORK,NY,10002
94,70 BARUCH DRIVE,NEW YORK,NY,10002
95,90 BARUCH DRIVE,NEW YORK,NY,10002
96,80 BARUCH DRIVE,NEW YORK,NY,10002
97,120 BARUCH DRIVE,NEW YORK,NY,10002
98,110 BARUCH DRIVE,NEW YORK,NY,10002
99,105 BARUCH DRIVE,NEW YORK,NY,10002
100,95 BARUCH DRIVE,NEW YORK,NY,10002
101,79 BARUCH DRIVE,NEW YORK,NY,10002
102,75 BARUCH DRIVE,NEW YORK,NY,10002
103,296 DELANCEY STREET,NEW YORK,NY,10002
104,298 DELANCEY STREET,NEW YORK,NY,10002
105,288 DELANCEY STREET,NEW YORK,NY,10002
106,292 DELANCEY STREET,NEW YORK,NY,10002
107,60 COLUMBIA STREET,NEW YORK,NY,10002
108,50 COLUMBIA STREET,NEW YORK,NY,10002
109,90 COLUMBIA STREET,NEW YORK,NY,10002
110,80 COLUMBIA STREET,NEW YORK,NY,10002
111,120 COLUMBIA STREET,NEW YORK,NY,10002
112,110 COLUMBIA STREET,NEW YORK,NY,10002
113,140 COLUMBIA STREET,NEW YORK,NY,10002
114,130 COLUMBIA STREET,NEW YORK,NY,10002
115,72 COLUMBIA STREET,NEW YORK,NY,10002
116,2045 ROCKAWAY PARKWAY,BROOKLYN,NY,11236
117,2055 ROCKAWAY PARKWAY,BROOKLYN,NY,11236
118,9910 SEAVIEW AVENUE,BROOKLYN,NY,11236
119,1550 EAST 102ND STREET,BROOKLYN,NY,11236
120,1540 EAST 102ND STREET,BROOKLYN,NY,11236
121,2075 ROCKAWAY PARKWAY,BROOKLYN,NY,11236
122,2065 ROCKAWAY PARKWAY,BROOKLYN,NY,11236
123,1570 EAST 102ND STREET,BROOKLYN,NY,11236
124,1560 EAST 102ND STREET,BROOKLYN,NY,11236
125,2105 ROCKAWAY PARKWAY,BROOKLYN,NY,11236
126,2085 ROCKAWAY PARKWAY,BROOKLYN,NY,11236
127,1580 EAST 102ND STREET,BROOKLYN,NY,11236
128,1590 EAST 102ND STREET,BROOKLYN,NY,11236
129,2125 ROCKAWAY PARKWAY,BROOKLYN,NY,11236
130,2115 ROCKAWAY PARKWAY,BROOKLYN,NY,11236
131,5945 SHORE PARKWAY,BROOKLYN,NY,11236
132,5975 SHORE PARKWAY,BROOKLYN,NY,11236
133,1610 EAST 102ND STREET,BROOKLYN,NY,11236
134,1630 EAST 102ND STREET,BROOKLYN,NY,11236
135,5905 SHORE PARKWAY,BROOKLYN,NY,11236
136,5935 SHORE PARKWAY,BROOKLYN,NY,11236
137,5985 SHORE PARKWAY,BROOKLYN,NY,11236
138,5995 SHORE PARKWAY,BROOKLYN,NY,11236
139,40-20 BEACH CHANNEL DRIVE,FAR ROCKAWAY,NY,11691
140,433 BEACH 40TH STREET,FAR ROCKAWAY,NY,11691
141,453 BEACH 40TH STREET,FAR ROCKAWAY,NY,11691
142,438 BEACH 40TH STREET,FAR ROCKAWAY,NY,11691
143,38-08 BEACH CHANNEL DRIVE,FAR ROCKAWAY,NY,11691
144,456 BEACH 40TH STREET,FAR ROCKAWAY,NY,11691
145,701 WILLOUGHBY AVENUE,BROOKLYN,NY,11206
146,671 WILLOUGHBY AVENUE,BROOKLYN,NY,11206
147,675 WILLOUGHBY AVENUE,BROOKLYN,NY,11206
148,281 THROOP AVENUE,BROOKLYN,NY,11206
149,213 HART STREET,BROOKLYN,NY,11206
150,455 BARBEY STREET,BROOKLYN,NY,11207
151,459 BARBEY STREET,BROOKLYN,NY,11207
152,463 BARBEY STREET,BROOKLYN,NY,11207
153,418 JEROME STREET,BROOKLYN,NY,11207
154,422 JEROME STREET,BROOKLYN,NY,11207
155,426 JEROME STREET,BROOKLYN,NY,11207
156,610 BELMONT AVENUE,BROOKLYN,NY,11207
157,616 BELMONT AVENUE,BROOKLYN,NY,11207
158,1754 RICHMOND ROAD,STATEN ISLAND,NY,10306
159,1742 RICHMOND ROAD,STATEN ISLAND,NY,10306
160,1726 RICHMOND ROAD,STATEN ISLAND,NY,10306
161,1718 RICHMOND ROAD,STATEN ISLAND,NY,10306
162,30 DONGAN HILLS AVENUE,STATEN ISLAND,NY,10306
